Base SKU,Assigned To Handles/Sizes,Total Variants
G17V1WHTXS,"regular-fit-women-recycled-t-shirt-white (size XS); oversized-fit-men-recycled-t-shirt-white (size XS)",2
G17V1WHTS,"regular-fit-women-recycled-t-shirt-white (size S); oversized-fit-men-recycled-t-shirt-white (size S)",2
G17V1WHTM,"regular-fit-women-recycled-t-shirt-white (size M); oversized-fit-men-recycled-t-shirt-white (size M)",2
G17V1WHTL,"regular-fit-women-recycled-t-shirt-white (size L); oversized-fit-men-recycled-t-shirt-white (size L)",2
G17V1WHTXL,"regular-fit-women-recycled-t-shirt-white (size XL); oversized-fit-men-recycled-t-shirt-white (size XL)",2
G17V1TAUPXS,"regular-fit-women-recycled-t-shirt-taupe (size XS); oversized-fit-men-recycled-t-shirt-taupe (size XS)",2
G17V1TAUPS,"regular-fit-women-recycled-t-shirt-taupe (size S); oversized-fit-men-recycled-t-shirt-taupe (size S)",2
G17V1TAUPM,"regular-fit-women-recycled-t-shirt-taupe (size M); oversized-fit-men-recycled-t-shirt-taupe (size M)",2
G17V1TAUPL,"regular-fit-women-recycled-t-shirt-taupe (size L); oversized-fit-men-recycled-t-shirt-taupe (size L)",2
G17V1TAUPXL,"regular-fit-women-recycled-t-shirt-taupe (size XL); oversized-fit-men-recycled-t-shirt-taupe (size XL)",2
G17V1SGXS,"regular-fit-women-recycled-t-shirt-sage-green (size XS); oversized-fit-men-recycled-t-shirt-sage-green (size XS)",2
G17V1SGS,"regular-fit-women-recycled-t-shirt-sage-green (size S); oversized-fit-men-recycled-t-shirt-sage-green (size S)",2
G17V1SGM,"regular-fit-women-recycled-t-shirt-sage-green (size M); oversized-fit-men-recycled-t-shirt-sage-green (size M)",2
G17V1SGL,"regular-fit-women-recycled-t-shirt-sage-green (size L); oversized-fit-men-recycled-t-shirt-sage-green (size L)",2
G17V1SGXL,"regular-fit-women-recycled-t-shirt-sage-green (size XL); oversized-fit-men-recycled-t-shirt-sage-green (size XL)",2
G17V1REDXS,"regular-fit-women-recycled-t-shirt-red (size XS); oversized-fit-men-recycled-t-shirt-red (size XS)",2
G17V1REDS,"regular-fit-women-recycled-t-shirt-red (size S); oversized-fit-men-recycled-t-shirt-red (size S)",2
G17V1REDM,"regular-fit-women-recycled-t-shirt-red (size M); oversized-fit-men-recycled-t-shirt-red (size M)",2
G17V1REDL,"regular-fit-women-recycled-t-shirt-red (size L); oversized-fit-men-recycled-t-shirt-red (size L)",2
G17V1REDXL,"regular-fit-women-recycled-t-shirt-red (size XL); oversized-fit-men-recycled-t-shirt-red (size XL)",2
G17V1PNKXS,"regular-fit-women-recycled-t-shirt-pink (size XS); oversized-fit-men-recycled-t-shirt-pink (size XS)",2
G17V1PNKS,"regular-fit-women-recycled-t-shirt-pink (size S); oversized-fit-men-recycled-t-shirt-pink (size S)",2
G17V1PNKM,"regular-fit-women-recycled-t-shirt-pink (size M); oversized-fit-men-recycled-t-shirt-pink (size M)",2
G17V1PNKL,"regular-fit-women-recycled-t-shirt-pink (size L); oversized-fit-men-recycled-t-shirt-pink (size L)",2
G17V1PNKXL,"regular-fit-women-recycled-t-shirt-pink (size XL); oversized-fit-men-recycled-t-shirt-pink (size XL)",2
G17V1PLXS,"regular-fit-women-recycled-t-shirt-pale-lavender (size XS); oversized-fit-men-recycled-t-shirt-pale-lavender (size XS)",2
G17V1PLS,"regular-fit-women-recycled-t-shirt-pale-lavender (size S); oversized-fit-men-recycled-t-shirt-pale-lavender (size S)",2
G17V1PLM,"regular-fit-women-recycled-t-shirt-pale-lavender (size M); oversized-fit-men-recycled-t-shirt-pale-lavender (size M)",2
G17V1PLL,"regular-fit-women-recycled-t-shirt-pale-lavender (size L); oversized-fit-men-recycled-t-shirt-pale-lavender (size L)",2
G17V1PLXL,"regular-fit-women-recycled-t-shirt-pale-lavender (size XL); oversized-fit-men-recycled-t-shirt-pale-lavender (size XL)",2
G17V1PBXS,"regular-fit-women-recycled-t-shirt-pale-blue (size XS); oversized-fit-men-recycled-t-shirt-pale-blue (size XS)",2
G17V1PBS,"regular-fit-women-recycled-t-shirt-pale-blue (size S); oversized-fit-men-recycled-t-shirt-pale-blue (size S)",2
G17V1PBM,"regular-fit-women-recycled-t-shirt-pale-blue (size M); oversized-fit-men-recycled-t-shirt-pale-blue (size M)",2
G17V1PBL,"regular-fit-women-recycled-t-shirt-pale-blue (size L); oversized-fit-men-recycled-t-shirt-pale-blue (size L)",2
G17V1PBXL,"regular-fit-women-recycled-t-shirt-pale-blue (size XL); oversized-fit-men-recycled-t-shirt-pale-blue (size XL)",2
