ID,Type,SKU,Name,Published,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Manage stock?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: product_group,Meta: color_name,Meta: color_hex,Meta: complete_the_look,Meta: maincat,Meta: subcat
,variable,organic-bamboo-women-string-bodysuit-taupe,Organic Bamboo Women's String Bodysuit,1,,"A second skin feel bodysuit that can be worn alone or as a base layer. It provides the most flattering base, with the most comfortable and softest touch to skin feel. This everyday body is a perfect base piece that can be paired with anything, elevating your look while being ultra-comfortable. <br><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul>",,,taxable,,1,12,,0,,1,,,,,,,139,219,"Trending,Bodysuits,Underwear,The Reddy Sisters",women-bodysuits,,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/LF_343a5b57-766a-4ea3-a2f0-3480926ee98c.jpg?v=1743658809,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_42589ecc-be16-4e8c-b983-b648cc20795b.jpg?v=1743658810,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_3e5fc48e-0d3e-4c78-89a9-aeeed8038e10.jpg?v=1743658810,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/LB_c1e705f3-9440-4faa-a8d5-a010ffaf9c11.jpg?v=1743658810",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-string-bodysuit,Natural Taupe,#AF9483,,bodysuits,
,variation,GL13V1TAUPS,,1,,,,,,,0,0,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-taupe,,,,,,,pa_size,S,,,,,,,,
,variation,GL13V1TAUPM,,1,,,,,,,1,2,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-taupe,,,,,,,pa_size,M,,,,,,,,
,variation,GL13V1TAUPL,,1,,,,,,,1,4,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-taupe,,,,,,,pa_size,L,,,,,,,,
,variation,GL13V1TAUPXL,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-taupe,,,,,,,pa_size,XL,,,,,,,,
,variation,GL13V1TAUP2XL,,1,,,,,,,1,3,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-taupe,,,,,,,pa_size,2XL,,,,,,,,
,variable,organic-bamboo-women-string-bodysuit-pink,Organic Bamboo Women's String Bodysuit,1,,"<span>A second skin feel bodysuit that can be worn alone or as a base layer. It provides the most flattering base, with the most comfortable and softest touch to skin feel. This everyday body is a perfect base piece that can be paired with anything, elevating your look while being ultra-comfortable.</span><br><ul><li>100% sustainable</li><li>95% organic cotton + 5% recycled elastane</li><li>GRS &amp; OEKO-TEX certified</li><li>Low-impact dye</li><li>Ultra-soft</li><li>Biodegradable</li><li>Non-toxic</li><li>BioBag packaging</li><li>Made in UAE</li></ul>",,,taxable,,1,16,,0,,1,,,,,,,139,219,"Bodysuits,Underwear",women-bodysuits,,"https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FF_32861af3-2312-47cb-963e-230452232bd1.jpg?v=1743658807,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CF_cf06a2ae-3079-4212-8288-f2b66497d020.jpg?v=1743658807,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/CB_66eabca3-4c17-40a2-9c73-30aa1a78f3e8.jpg?v=1743658808,https://cdn.shopify.com/s/files/1/0469/1152/0920/products/FS_9960a1e2-df54-426c-b886-bb5c218c5204.jpg?v=1743658808",,,,,,,,,,pa_size,S|M|L|XL|2XL,1,1,organic-bamboo-women-string-bodysuit,Pastel Pink,#F7C8C2,,bodysuits,
,variation,GL13V1PNKS,,1,,,,,,,0,0,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-pink,,,,,,,pa_size,S,,,,,,,,
,variation,GL13V1PNKM,,1,,,,,,,1,6,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-pink,,,,,,,pa_size,M,,,,,,,,
,variation,GL13V1PNKL,,1,,,,,,,1,6,,,,1,,,,,,,139,219,,,,,,,organic-bamboo-women-string-bodysuit-pink,,,,,,,pa_size,L,,,,,,,,
